,tweet,category
0,faith blow meclaim shit tmadisonx hoe fuck somebodi still,Hate
1,mariam includ rhythmixx bitch hobbi fight,Hate
2,bitch get,Hate
3,bitch love,Hate
4,like spend bout money talk hoe nigga,Hate
5,bitch nigga trust dont,Hate
6,sentenc niggah red complet bitch fuck plea malon could almightywayn man use,Hate
7,yo life ball amjemiebenn yall bvsedchink wood man httptcovbczp6hmt7 fuck faggot push skateboard,Hate
8,must think kill 30chanc ant way wa u ever nigga damn hi get b sidewalk beeasyjrizzi pussyno,Hate
9,talk kid ppl beenflynsolo nigga funnnnnnn bad grow ghettohood,Hate
10,buttcheek lost pierc blackchiquitita thatmanpalm wow hoe yeah rt httptcoyn6guyouq6 im,Hate
11,yo ccobey birthday aydanmccoy happi thank nig,Hate
12,tell bitch httpstcorkk5vawij1 teacher ur need thi go u homework chlldhoodruin,Hate
13,httptcoosipbkpr9h 22edham hoe said wa eat nigga yea lol john caelang15 paul hell,Hate
14,win start carelessone92 riot leaf go thi better shit earlychristma loot damn game nig,Hate
15,bout pussi shutup cowboy chandlerparson,Hate
16,hate dionairish bitch pregnant type im,Hate
17,know throw pas hoe sack look lmao halotgmg nigga hacki nah 1stnamebravo,Hate
18,atlanta bunch dumb jail bitch kid outta noth heartlessfuck get nigga mad fuckin glad im em,Hate
19,bitch black power hoskinsty96 white boy,Hate
20,good maam zoe shut pussi man lipethegreat h0rheyd along im move fight,Hate
21,america south bitch new twitter thi migsmichelen shit go back confus,Hate
22,never seen mine bitch ob aint nigga im newsomejad,Hate
23,know bitch dick suck cook reachtheeclimax one cant,Hate
24,bitch retweetin aint lmaooo type tire rnadjorel bruh nigga cyru nake bad miley im,Hate
25,sex like faggot whata want anonym gf dont feel samirahus becaus im use,Hate
26,ha send drink thegamerkingkev head twitter boy nude probli magaluf wonder fag girl 24 gave,Hate
27,come jetsandaswish therealrickyb21 yall aint frontbitch gook,Hate
28,jetsandaswish therealrickyb21 bitch httptco2hyyabk4eh faggot,Hate
29,bobbi live workout bitchbi play befor bobbyshmurdags9 hoe get tmaccgfg fuck yea hell,Hate
30,bruno xoxoangie love fag boy,Hate
31,bitch youngricooo birthday nigga wexicanafro702 happi pal thank,Hate
32,punch mush gonna real right pussi nigga face caus shake back strong onli badab,Hate
33,blond like sever bitch hoe look plea malibubarbi blackmild dark nd seat wtf,Hate
34,say straight ya yall taradis eat face dont butt still nig,Hate
35,simplycaitlin hate whi ratchet hoe friend becaus,Hate
36,adriwadrri hoe love nigga fuck,Hate
37,cheetahbluntz hoe shhhhh,Hate
