,Document,SVM,Naive-Bayes
0,"b""Pernod takeover talk lifts Domecq\n\nShares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.\n\nReports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target. Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%. Pernod said it was seeking acquisitions but refused to comment on specifics.\n\nPernod's last major purchase was a third of US giant Seagram in 2000, the move which propelled it into the global top three of drinks firms. The other two-thirds of Seagram was bought by market leader Diageo. In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of \xc2\xa35.7bn ($10.7bn; 8.2bn euros). Last year Pernod tried to buy Glenmorangie, one of Scotland's premier whisky firms, but lost out to luxury goods firm LVMH. Pernod is home to brands including Chivas Regal Scotch whisky, Havana Club rum and Jacob's Creek wine. Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka and Ballantine's whisky - as well as snack food chains such as Dunkin' Donuts and Baskin-Robbins ice cream. The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.\n""",business,business
1,"b'Qwest may spark MCI bidding war\n\nUS phone company Qwest has said it will table a new offer for MCI after losing out to larger rival Verizon, setting the scene for a possible bidding war.\n\nMCI accepted a $6.75bn (\xc2\xa33.6bn) buyout from telecoms giant Verizon on Monday, rejecting a higher offer from Qwest. Qwest chairman Richard Notebaert sent a letter to MCI\'s board on Thursday saying that it plans to submit a new offer after examining Verizon\'s bid. Formerly known as Worldcom, MCI is a long-distance and corporate phone firm. Snapping up MCI would give the buyer access to a global telecommunications network and a large number of business-based subscribers. Shares of MCI were up more than 4% in electronic trading after the close of New York markets.\n\nQwest said on Wednesday that MCI had rejected a deal worth $8bn. ""We would like to advise you that once we have completed our review of the Verizon merger agreement, we do intend to submit a modified offer to acquire MCI,"" the letter from Qwest said. Verizon\'s offer is made up of cash, shares and dividends, and a number of investors have said that it undervalues MCI. Verizon plans to swap 0.41 of its shares and $1.50 in cash for each MCI share, as well as offering special dividends of $4.50 a share. Both company boards have backed the deal, but regulators will still need to give their approval. As well as trying to lure investors with the promise of better returns, Qwest also reckons that its offer will face less regulatory scrutiny than Verizon\'s.\n\nThe takeover would be the fifth billion-dollar telecoms deal since October as companies look to cut costs and boost client bases. Earlier this month, SBC Communications agreed to buy its former parent and phone trailblazer AT&T for about $16bn. There may be concerns other than cash, however, especially as MCI only emerged from bankruptcy protection last April. Verizon is far bigger than Qwest, has fewer debts and has built a successful mobile division. Also, MCI, while trading under the name Worldcom, became the biggest corporate bankruptcy in US history after admitting that it illegally booked expenses and inflated profits. Former Worldcom boss Bernie Ebbers is currently standing trial, accused of overseeing an $11bn fraud. Qwest, meanwhile, had to pay the Securities and Exchange Commission $250m in October to settle charges that it massaged earnings to keep Wall Street happy.\n'",business,business
2,"b'Dogged Federer claims Dubai crown\n\nWorld number one Roger Federer added the Dubai Championship trophy to his long list of successes - but not before he was given a test by Ivan Ljubicic.\n\nTop seed Federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. But Ljubicic, who beat Tim Henman in the last eight, dug deep to secure the second set after a tense tiebreak. Swiss star Federer was not about to lose his cool, though, turning on the style to win the deciding set 6-3. The match was a re-run of last week\'s final at the World Indoor Tournament in Rotterdam, where Federer triumphed, but not until Ljubicic had stretched him all the way. ""I really wanted to get off to a good start this time, and I did, and I could really play with confidence while he still looking for his rhythm,"" Federer said.\n\n""That took me all the way through to 6-1 3-1 0-30 on his serve and I almost ran away with it. But he came back, and that was a good effort on his side."" Ljubicic was at a loss to explain his poor showing in the first set. ""I didn\'t start badly, but then suddenly I felt like my racket was loose and the balls were flying a little bit too much. And with Roger, if you relax for a second it just goes very quick,"" he said. ""After those first three games it was no match at all. I don\'t know, it was really weird. I was playing really well the whole year, and then suddenly I found myself in trouble just to put the ball in the court."" But despite his defeat, the world number 14 was pleased with his overall performance. ""I had a chance in the third, and for me it\'s really positive to twice in two weeks have a chance against Roger to win the match. ""It\'s an absolutely great boost to my confidence that I\'m up there and belong with top-class players.""\n'",sport,sport
3,"b'Oscars race enters final furlong\n\nThe race for the Oscars entered its final stages as the deadline for voters to choose their winners passed.\n\nThe 5,808 Academy voters had until Tuesday afternoon to return their ballots - any late submissions will not be included in the count. The next five days will be spent counting the voting forms and preparing the winners\' envelopes. Best actor nominee Leonardo DiCaprio is to present a statuette for the first time at the LA ceremony on Sunday.\n\nThe 30-year-old actor, who is nominated for playing Howard Hughes in The Aviator, will join other hopefuls such as co-star Cate Blanchett, Natalie Portman and Kate Winslet as Oscar presenters. The only people who will know the Oscar winners before they are revealed at the ceremony will be the auditors who are in charge of looking after the ballot count.\n\nAfter collating the results, they are responsible for sealing the results in the famous golden envelopes which will be revealed by a host of celebrity presenters at the ceremony. Former Academy Award winners Gwyneth Paltrow, Dustin Hoffman and Halle Berry will also present prizes. The event at the Kodak Theatre will be attended by 3,300 people, including some of the best-known names in film, and organisers say they expect it will be watched on television by one billion people around the world. One current concern is the torrential rain which has lashed Los Angeles for the past week, flooding suburbs and causing mudslides. It is hoped the forecast for Sunday, for cool weather but no rain, will prove accurate. ""The last time it rained on Oscars night was in the mid-to-late 1980s,"" said Oscars communications director John Pavlik. ""We have had rain up until the day before the show many times, but for some reason the Oscar gods always shine on Sunday and we hope they will do so again this year,"" he added.\n'",entertainment,entertainment
4,"b""Hearts of Oak 3-2 Cotonsport\n\nHearts of Oak set up an all Ghanaian Confederation Cup final with a 3-2 win over Cameroon's Cotonsport Garoua in Accra on Sunday.\n\nThe win for Hearts means they will play Asante Kotoko in the two-leg final, after the Kumasi team qualified from Group A on Saturday. In the other Group B game Cameroon's\n\nbeat\n\nof South Africa 3-2 in Douala, neither side could have qualified for the final. Hearts of Oak started the game needing a win to qualify for the final while Cotonsport only needed to avoid defeat to go through. Louis Agyemang scored the first two goals for Hearts either side of half time before Ben Don Bortey scored the third. Hearts looked set for a comfortable win but Cotonsport staged a late fight back scoring twice late on. First of all Boukar Makaji scored in the 89th minute and then 3 minutes into injury time at the end of the game Andre Nzame III was on target. But it was too little too late for the Cameroonians and Hearts held on to win the game and a place in the final. The first leg of the final will be played in Accra on the weekend of 27-28 November and the second leg two weeks later on the 11 December in Kumasi. In the other Group B game Cameroon's Sable Batie took the lead in the 35th minute through Kemadjou before Santos equalised on the hour mark thanks to Thokozani Xaba . Bernard Ngom put Sable ahead just five minutes later and then Ernest Nfor settled the game on 68 minutes. Ruben Cloete scored the South African sides consolation with just three minutes left on the clock.\n""",sport,sport
5,"b'U2 stars enter rock Hall of Fame\n\nSinger Bruce Springsteen has inducted Irish rock band U2 into the Rock and Roll Hall of Fame, in New York.\n\nThe lavish ceremony, celebrating the 50th anniversary of rock \'n\' roll, also saw the induction of the Pretenders, Percy Sledge, the O\'Jays and Buddy Guy. ""This was a band that wanted to lay claim to this world and the next one, too,"" said Springsteen. Bono, The Edge, Adam Clayton and Larry Mullen Jr, who formed U2 at school in 1977, begin a world tour on 28 March. Introducing the band, Springsteen mocked Bono as the man who ""single-handedly pioneered the Irish mullet"", poking fun at ""one of the best and most endearingly messianic complexes in rock \'n\' roll"". But he also spoke of the group\'s enduring stature, adding that it was the only band of the last 20 years where he knew all four members\' names.\n\nU2\'s contemporaries, the Pretenders, led by Chrissie Hynde - took to the stage to perform My City Was Gone with inductee Neil Young. ""We are a tribute band,"" said Hynde, 53. ""We\'re paying tribute to James Honeyman-Scott and Pete Farndon, without whom we would not have been here,"" she said, referring to the premature deaths of two of the band\'s guitarists from drug overdoses.\n\nBritain\'s Rod Stewart introduced Percy Sledge, citing his best-known hit When a Man loves a Woman as ""one of the best performances I\'ve ever heard"". Justin Timberlake introduced soul group the O\'Jays, a gospel-style quartet from Ohio, who performed a medley of their best-known songs including Back Stabbers, Love Train and For the Love of Money. ""Anyone who\'s ever written, produced or performed something soulful stands in the shadows of these giants,"" said Timberlake.\n\nJoining the ceremony at New York\'s Waldorf Astoria were legendary R&B star Bo Diddley, who performed with Eric Clapton and Robbie Robertson.\n\nClapton, alongside BB King, also introduced fellow guitarist Buddy Guy and recalled seeing him play as a teenager in England. ""He was for me what Elvis was probably like for other people,"" he said. ""My course was set and he was my pilot,"" said Clapton who joined Guy and King in a performance of Let Me Love You Baby. Also performing at the ceremony was veteran musician Jerry Lee Lewis who continued his reputation as a rowdy piano-pounder despite his 69 years, kicking over his stool and sitting on the piano during a rendition of Whole Lotta Shakin\' Goin\' On.\n'",entertainment,entertainment
6,"b'News Corp eyes video games market\n\nNews Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.\n\nAccording to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tires of pretty much all video games companies"". Santa Monica-based Activison is said to be one firm on its takeover list. Video games are ""big business"", the paper quoted Mr Chernin as saying. We ""would like to get into it"".\n\nThe success of products such as Sony\'s Playstation, Microsoft\'s X-Box and Nintendo\'s Game Cube have boosted demand for video games.\n\nThe days of arcade classics such as Space Invaders, Pac-Man and Donkey Kong are long gone. Today, games often have budgets big enough for feature films and look to give gamers as real an experience as possible. And with their price tags reflecting the heavy investment by development companies, video games are proving almost as profitable as they are fun. Mr Chernin, however, told the FT that News Corp was finding it difficult to identify a suitable target. ""We are struggling with the gap between companies like Electronic Arts, which comes with a high price tag, and the next tier of companies,"" he explained during a conference in Phoenix, Arizona. ""These may be too focused on one or two product lines.""\n'",business,business
7,"b'Lewsey puzzle over disallowed try\n\nEngland\'s Josh Lewsey has claimed he was denied a late try in his side\'s Six Nations loss to Ireland.\n\nThe Wasps wing insisted he grounded the ball when he was bundled over the line and said referee Jonathan Kaplan had made a wrong decision. ""I\'m positive I touched the ball down over the line,"" Lewsey told BBC Sport. ""It certainly wasn\'t a turnover. ""I was driven over and I put the ball on the ground. The whistle went and I let go of the ball."" Lewsey added: ""One of the Irish players scooped it back after the whistle and to our surprise the referee then gave a turnover. ""As far as I\'m concerned, that incident and Mark Cueto\'s effort from Charlie Hodgson\'s cross-field kick that led to what looked like a good try were the two key elements in the game.""\n\nCueto was also puzzled as to why his try had been disallowed by Kaplan. ""I don\'t think I could have been offside for, without a doubt, I was behind the ball,"" said the Sale player. ""The move was a planned technique, it was not off the cuff. We rehearse it time and time again. ""I wouldn\'t say we were robbed, some decisions go with you and some go against you. Today they went against us and that\'s tough at international level.""\n'",sport,sport
8,"b'Giggs handed Wales leading role\n\nRyan Giggs will captain Wales as he wins his 50th cap in Wednesday\'s friendly against Hungary in Cardiff.\n\nJohn Toshack, in his first game as coach after succeeding Mark Hughes, admits he is surprised that Giggs has only just reached the landmark. ""With the games he\'s played for United, proportionately it doesn\'t seem that many for Wales,"" Toshack said. ""But he\'s one of the greatest of all Welsh internationals and on his 50th cap it\'s appropriate he\'s captain."" Giggs admits he had briefly considered retirement from the international game, but is now targetting playing for Wales in the 2008 European Championships. The Manchester United wing revealed how club manager Sir Alex Ferguson talked him into extending his Wales career. ""I briefly discussed my international future with Sir Alex, but he urged me to carry on,"" Giggs said. ""He feels, like myself, that I have no weight problems and keep myself fit, so in three or four years\' time I will be able to play in the European finals if we get there. ""The manager has always wanted me to play for my club and country and he was keen for me to continue because I am fit enough.""\n\nGiggs admits he was wavering and considering joining the likes of former Wales skipper Gary Speed and United team-mate Paul Scholes in committing the remaining years of his career to club football. But Giggs is now focussed on making the Toshack era even more successful than the time Hughes spent at the helm. The Manchester United winger won his first cap as a 17-year-old in 1991, an away loss to Germany, and now faces his landmark appearance at the age of 31. With Giggs leading Wales out against Hungary, there is every chance that he will become the permanent successor to Speed. However, Toshack refused to reveal whether he sees Giggs as a long-term option. ""For this particular game I think it is appropriate that Ryan Giggs will be captain, it\'s his 50th cap and he\'s known for some time about that,"" Toshack said. On Wednesday night Toshack takes charge of his first match since replacing Hughes, and Giggs said: ""It\'s my 50th cap and I am looking forward to it, and I hope to play a lot more times from here on in. ""It\'s important to be here, all the players feel the same. It\'s a new start and all the top players certainly see it as important. ""I see myself leading by example, it is something I have taken on for Wales as well as United these past few seasons. ""The way John is looking at things, he is aiming to build his side around the experienced lads right up to the next tournament, the Euro 2006 event. ""I have told John I will be around for the next European tournament, by then I will be 35 so hopefully I will still be okay. ""A lot can happen, but I\'m hoping to be around."" Giggs\' own personal future at Old Trafford is still up in the air as he has yet to reach agreement on a new contract, with Manchester United offering one extra year and Giggs seeking two. ""I have put the contract thing to the back of my mind at the moment,"" said Giggs. ""It is an important period for the club and I am just concentrated on that. ""I\'ve heard the suggestions, hopefully there is a two-year deal about to be offered because that is what I am looking for, to get it sorted out. ""I\'m enjoying my football, the way United have been playing and my own form, you have to enjoy it. ""We have massive games coming up: Manchester City this week, then the Everton cup tie, followed by AC Milan in the Champions League, and my first Wales game under John Toshack, so it\'s an important time.""\n'",sport,sport
9,"b'India power shares jump on debut\n\nShares in India\'s largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.\n\nThe government\'s partial sell-off of NTPC is part of a controversial programme to privatise state-run firms. The 865 million share offer, a mix of new shares and sales by the government, raised 54bn rupees($1.2bn). It was India\'s second $1bn stock debut in three months, coming after the flotation by software firm Tata. The share offer was eleven times oversubscribed. ""It is a good investment bet,"" said Suhas Naik, an investment analyst from ING Mutual Fund. ""Power needs in India are set to rise and NTPC will benefit from that."" Analysts say the success of the NTPC flotation would encourage the government to reduce stakes in more power companies. NTPC has said it will use the money from the share sale to feed the growing needs of the country\'s energy-starved economy. The firm is the largest utility company in India, and the sixth largest power producer in the world.\n'",business,business
