,Document,Category
0,lost big stolichnaya time scotland baskinrobbin wine portfolio top three term luxuri third 82bn home lvmh journal twothird leader brandi target bid ricardnnreport giant ice dealt glenmorangi chain jacob includ chiva club smaller ballantin capitalis year spirit creek comment specificsnnpernod propel snack street refus specul london slip name ripe seek suggest food dunkin ha pari cream bpernod premier consid alli talk courvoisi valu malibu takeov lift domecqnnshar buy 75bn wsj said donut risen part took 1200 havana 18bn franc wall rum good chainsn euro 12 whiski fund 9 financi acquisit purchas problemat well regal wa drink consolid 2000 contact improv could market uk one firm domecq u rose brand move pernod share fastfood two xc2xa357bn 107bn gmt global 97bn seagram diageo debt 4 scotch yet major reduc bought french last tri perform vodka,business
1,telecommun base bigger bqwest xc2xa336bn book number trailblaz protect snap happyn expens onc stand divis york 16bn merger like buyout thursday give rival sbc verizon network onli agreement 675bn electron bid emerg dividend 250m giant warnnu att commiss notebaert investor worldcom would fewer worth histori boost street trial pay octob bankruptci face need name client 8bn review larger secur better back ha success undervalu offer phone ebber promis known takeov warnnmci compani longdist buyer formerli month keep overse verizonsnnth businessbas earlier cut possibl biggest telecom scrutini buy far inflat said accept reject profit agre 150 new admit swap trade parent wall former close concern 11bn may regul scene advis regulatori current qwest fraud acquir mobil modifi le built tabl special look reckon bos plan say charg corpor massag cost well set sent wednesday intend thi higher lure 450 still return larg illeg complet fifth letter berni meanwhil settl board howev 041 marketsnnqwest firm billiondollar submit access u accus lose approv subscrib share deal also earn commun examin global chairman april sinc cash spark made debt exchang 4 mci becam especi richard last tri monday,business
2,chanc confid championship saidnnthat time number didnt first three victori 030 whole third quick get despit posit easi much like befor put style veri seed hi explain great effort swiss dug tournament year ljubicicnntop badli show long boost almost ad eighth plea secur crownnnworld back success trophi bdog decid overal ten final cours second game henman test 61 absolut rotterdam dont 63 way given said tiebreak match ran took felt world realli feder want away came good side 31 fli thump start eight court tim racket week im bit found look triumph know littl 14 turn well weird defeat though set belong thi ball deep still claim cool relax star wa troubl goe could ivan stretch one lose loss list win indoor serv loo two play ljubic rerun suddenli dubai poor playersn roger twice last beat perform rhythm topclass,sport
3,past 30yearold time ani angel hope first prize dicaprio prepar john count befor expect torrenti seal onli film theatr present lash pavlik countnnaft spent weather god includ prove race event collat oscar howard year late show academi peopl lo celebr deadlin alway natali name director golden best 5808 gwyneth ha statuett afternoon kate flood mani final caus ceremoni reason 3300 watch organis around costar televis berri paltrow cate la choos attend accur said furlongnnth hugh rain next famou world day respons passednnth former concern mudslid suburb kodak current envelop winner nomine stage result week billion look five join know voter say charg reveal thi nomin bestknown cool addedn return wa boscar tuesday 1980 ballot hoffman one blanchett night hall aviat sundaynnth also play vote midtol commun auditor portman enter sunday award submiss dustin forecast winslet actor leonardo form last host shine,entertainment
4,time first three makaji later fight third boukar befor africa 3 put ahead onli target held cotonsport ghanaian saturday novemb late leg group kotoko injuri b kumasi santo cotonsportnnheart sabl ngom consol need decemb douala cameroon back cameroonsnnbeatnnof ben cup final lead bheart garoua thokozani mean second andr african game 11 qualifi xaba mark clockn heart 35th 89th 32 comfort took accra side start half team stage weekend week oak look five nfor confeder littl go iii defeat twoleg set bortey south minut equalis loui nzame place wa kemadj bati settl could cameroonian agyemang hour win sundaynnth avoid ernest left two play either 68 cloet thank goal end asant 2728 twice bernard score ruben neither,sport
5,n written lewi rock england jr king statur astoria anyon elvi pilot sledg perci whole irish stand despit march contemporari york rowdi 53 onn eric like jame babi springsteen onli band spoke giant hi continu honeymanscott cite endearingli includ lee roll year probabl 20 u2 led group tour would see legendari prematur peopl inducte someth ohio ad celebr 69 lotta stabber without overdosesnnbritain pay stool sit famennsing member veteran best back ha clapton quartet teenag love clayton neil mullen school lay pioneer ive robbi ceremoni cours reput shadow four anniversari rb alongsid money bono man citi singlehandedli stewart heard young timberlak musician rendit poke dure bo complex pretend said fun woman new next took world mullet guitarist 28 want 1977 rod 50th begin ojay stage buddi bb soul tribut pianopound ever join gone saw piano set robertsonnnclapton thi namesnnu2 let farndon medley pete bestknown claim star wa produc adam knew justin endur induct diddley one fellow yorknnth song hall shakin bruce timberlakennjoin also lavish bu2 two play mock fame kick refer hynd guy edg enter death jerri waldorf messian train recal chrissi drug gospelstyl larri form introduc last hit perform goin,entertainment
6,told video big time billionair find activison gamesnnth news get much high like phoenix give monicabas soni film target electron quot product tag price itnnth xbox tier prove murdoch linesn gamer would pretti real boost long almost peter suitabl success donkey experi paper control often arizona space takeov art compani come kong game enough marketnnaccord possibl difficult dure medium said heavi fun reflect profit classic next oper day ft offic corp may rupert confer featur chief chernin today tire look financi identifi invest mr say gone focus australian cube invad playstat wa gap budget howev nintendo one firm move microsoft list arcad struggl develop two santa bnew kick marketnnnew pacman busi eye demand explain,business
7,wing told puzzl time insist sport sale blewsey surpris offsid wrong irish posit whistl like crossfield leveln put hodgson wasnt scoop wasp hi player effort deni led late refere rehears behind kaplan turnov ad intern without whi tough wouldnt back ha cueto driven line disallow six bundl doubt mark gave rob dont far said cuff incid concern good side ground went charli josh today im look plan say go key trynnengland let ball lewsey claim wa gamenncueto techniqu element could touch irelandnnth one u jonathan certainli loss move also two kick decis made bbc think tri nation,sport
8,wing chanc import past reach lad manag told championship rolennryan wale time problem countri carri first three hope top cardiffnnjohn surpris twoyear keen get john longterm mind greatest like gigg retir put career 1991 germani helm weight onli target appear agreement even hi player european season spent continu hungari proportion club tournament year event manchest timen see ryan briefli enoughnngigg leagu contract 17yearold someth intern alway abl refus 35 face speed okay seek suggest alex ferguson back ha success consid extend offer unit talk thing doesnt mani remain age person lead final cup known ive come lot keep game four around concentr heard citi mark winger feel era air way bgigg old everi enjoy moment cap said forward champion follow hugh match milan new next admit want captain former away gari 50th becaus experienc side period 31 skipper start becom euro teammat happen futur week im paul aim trafford look join 2006 schole focus perman charg reveal well extra wednesday thi option replac still appropri wa footbal successor 2008 fit commit howev whether friendli toshack everton build one ac night certainli loss win deal two play landmark hand welsh sinc succeed coach make exampl discus sort tie seem think massiv yet sir waver particular right taken urg form take,sport
9,jump encourag wa programm debut said produc time naik 1bn sale mutual risen countri part 13 bindia new market three use softwar staterun firm need 54bn ntpc rais economi util rupees12bn bet grow corp share mix good suha benefit stock india eleven power success ha offer partial debutnnshar fund thermal ing worldn largest govern stake sixth oversubscrib come compani second month controversi invest say 865 privatis rise tata money million analyst reduc flotat set selloff would nation feed energystarv debutnnth,business
10,19bn improvenntelecom sale first three report whole third climb 2003 longterm upgrad like thursday ericsson 63bn execut deutsch excit 473 season popul supplier carlhenr year 456 see would fourth ad 1177bn compar margin client decemb statementnnchief ha dissip remain 207 compani driven month 59 outlook subject telekom said profit earli world trade kronor drop 31 vision mobil 9 le industri billion 2003n driver 2005 27 mr rise 13bn tumbl 2004 extra thi networksnnoper return wa warn solid howev equip alreadi access rose loss 471 108bn share 1319 optimist earn xc2xa3722m commun svanberg thank quarter usual bericsson allcommun forecast growth busi 394bn net analyst demand last 95bn normal post explain,business
